Bandera,Alcance,Mujeres,Hombres,18 a 24,25 a 34,35 a 44,45 a 55,56 +,NSE 1-2,NSE 3-4,NSE 5-6,Género,Edad,NSE,% Mujeres,% Hombres,% 18 a 24,% 25 a 34,% 35 a 44,% 45 a 55,% 56 +,% NSE 1-2,% NSE 3-4,% NSE 5-6
ban_tec_computadores,3.173.777,1.447.406,1.642.344,197.299,612.929,609.475,440.049,480.586,594.364,455.160,64.035,3.089.750,2.340.338,1.113.559,"46,85%","53,15%","8,43%","26,19%","26,04%","18,80%","20,53%","53,38%","40,87%","5,75%"
ban_comunicaciones,10.851.100,4.073.386,4.665.175,735.950,1.751.749,1.661.354,1.255.583,1.514.486,1.585.424,1.227.596,164.825,8.738.561,6.919.122,2.977.845,"46,61%","53,39%","10,64%","25,32%","24,01%","18,15%","21,89%","53,24%","41,22%","5,54%"
ban_claroappcont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
ban_tec_celulares,2.185.105,1.005.121,1.120.288,140.358,420.782,404.720,295.602,330.582,388.440,311.532,52.045,2.125.409,1.592.044,752.017,"47,29%","52,71%","8,82%","26,43%","25,42%","18,57%","20,76%","51,65%","41,43%","6,92%"
ban_video,4.396.169,1.905.709,2.223.638,420.753,948.927,802.912,549.618,530.566,739.549,532.970,64.410,4.129.347,3.252.776,1.336.929,"46,15%","53,85%","12,94%","29,17%","24,68%","16,90%","16,31%","55,32%","39,87%","4,82%"
ban_empleadores,35.004,17.717,16.631,2.059,9.909,8.613,5.054,4.461,8.235,5.605,580,34.348,30.096,14.420,"51,58%","48,42%","6,84%","32,92%","28,62%","16,79%","14,82%","57,11%","38,87%","4,02%"
ban_padres_bebes,17.461,10.920,6.305,934,6.982,7.538,1.703,29,4.424,2.656,234,17.225,17.186,7.314,"63,40%","36,60%","5,43%","40,63%","43,86%","9,91%","0,17%","60,49%","36,31%","3,20%"
ban_cine,1.318.981,586.377,639.638,141.576,346.000,276.106,169.076,132.981,218.734,199.862,30.784,1.226.015,1.065.739,449.380,"47,83%","52,17%","13,28%","32,47%","25,91%","15,86%","12,48%","48,67%","44,48%","6,85%"
ban_gamers,7.636.115,3.014.119,3.539.275,647.806,1.503.238,1.385.868,950.187,918.990,1.189.549,899.128,117.220,6.553.394,5.406.089,2.205.897,"45,99%","54,01%","11,98%","27,81%","25,64%","17,58%","17,00%","53,93%","40,76%","5,31%"
ban_pagos_online,1.926.205,824.863,949.180,204.442,506.417,430.968,254.461,217.734,320.172,302.024,47.794,1.774.043,1.614.022,669.990,"46,50%","53,50%","12,67%","31,38%","26,70%","15,77%","13,49%","47,79%","45,08%","7,13%"
ban_hogar,3.279.946,1.442.932,1.527.846,318.496,772.659,667.373,444.187,453.541,540.806,481.922,68.348,2.970.778,2.656.256,1.091.076,"48,57%","51,43%","11,99%","29,09%","25,12%","16,72%","17,07%","49,57%","44,17%","6,26%"
ban_deportes,4.002.075,1.455.561,2.154.602,298.394,815.007,796.158,559.385,640.833,695.194,550.946,71.683,3.610.163,3.109.777,1.317.823,"40,32%","59,68%","9,60%","26,21%","25,60%","17,99%","20,61%","52,75%","41,81%","5,44%"
ban_motocicletas,530.085,146.600,329.195,70.795,135.869,99.604,60.998,53.346,87.200,56.806,5.250,475.795,420.612,149.256,"30,81%","69,19%","16,83%","32,30%","23,68%","14,50%","12,68%","58,42%","38,06%","3,52%"
ban_tecnologia,11.774.302,4.481.500,5.124.189,797.905,1.874.053,1.767.294,1.325.562,1.565.995,1.667.459,1.259.688,173.174,9.605.689,7.330.809,3.100.321,"46,65%","53,35%","10,88%","25,56%","24,11%","18,08%","21,36%","53,78%","40,63%","5,59%"
ban_planclaro_musica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
ban_mascotas,519.022,239.595,245.067,73.697,145.669,99.474,61.747,55.420,80.611,81.498,12.441,484.662,436.007,174.550,"49,44%","50,56%","16,90%","33,41%","22,81%","14,16%","12,71%","46,18%","46,69%","7,13%"
ban_noticias,4.817.937,1.901.030,2.432.829,298.704,898.766,956.273,714.675,883.773,841.187,707.413,101.295,4.333.859,3.752.191,1.649.895,"43,86%","56,14%","7,96%","23,95%","25,49%","19,05%","23,55%","50,98%","42,88%","6,14%"
ban_billetera,1.724.043,758.956,874.784,176.580,457.213,377.617,235.552,200.666,316.833,269.878,35.644,1.633.740,1.447.628,622.355,"46,46%","53,54%","12,20%","31,58%","26,09%","16,27%","13,86%","50,91%","43,36%","5,73%"
ban_celulares,10.031.604,3.854.985,4.382.538,726.191,1.680.767,1.550.142,1.147.288,1.335.389,1.431.845,1.105.373,161.384,8.237.523,6.439.777,2.698.602,"46,80%","53,20%","11,28%","26,10%","24,07%","17,82%","20,74%","53,06%","40,96%","5,98%"
ban_tec_electrodomesticos,5.525.265,2.047.208,2.422.412,373.499,868.907,860.210,642.753,744.399,807.529,567.562,68.032,4.469.620,3.489.768,1.443.123,"45,80%","54,20%","10,70%","24,90%","24,65%","18,42%","21,33%","55,96%","39,33%","4,71%"
ban_finanzas,7.455.112,3.096.653,3.587.596,632.379,1.539.587,1.405.954,984.127,1.040.753,1.252.940,959.136,125.263,6.684.249,5.602.800,2.337.339,"46,33%","53,67%","11,29%","27,48%","25,09%","17,56%","18,58%","53,61%","41,04%","5,36%"
ban_miclaroapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
ban_mensajeria,879.933,411.046,428.085,83.302,250.105,197.426,116.023,105.160,163.863,162.678,21.705,839.131,752.016,348.246,"48,98%","51,02%","11,08%","33,26%","26,25%","15,43%","13,98%","47,05%","46,71%","6,23%"
ban_turismo,4.407.954,1.872.422,2.089.570,404.860,969.051,840.400,576.695,603.791,682.564,631.580,101.838,3.961.992,3.394.797,1.415.982,"47,26%","52,74%","11,93%","28,55%","24,76%","16,99%","17,79%","48,20%","44,60%","7,19%"
ban_cosmeticos,1.083.887,623.249,362.479,150.848,271.883,199.775,128.572,125.846,165.709,137.379,19.807,985.728,876.924,322.895,"63,23%","36,77%","17,20%","31,00%","22,78%","14,66%","14,35%","51,32%","42,55%","6,13%"
